epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.083,1.43555,4.4814,1.64379,0.56146,0.35671,0.32999,0.17364,1.59352,2.63681,1.95276,0.00332943,0.00332943,0.00332943
2,312.461,1.40874,3.30124,1.59908,0.65184,0.60638,0.66866,0.41385,1.40146,1.94284,1.77797,0.0066078,0.0066078,0.0066078
3,450.656,1.43294,2.81816,1.58387,0.67653,0.6246,0.68451,0.39122,1.54332,1.87109,1.85616,0.00983117,0.00983117,0.00983117
4,587.44,1.46024,2.55226,1.58293,0.79442,0.75276,0.83046,0.51794,1.35971,1.48321,1.70857,0.0097525,0.0097525,0.0097525
5,723.598,1.39737,2.16278,1.51905,0.79805,0.78323,0.87577,0.57297,1.25952,1.36855,1.61215,0.00967,0.00967,0.00967
6,859.713,1.35245,1.87179,1.48047,0.83969,0.82107,0.90958,0.60981,1.22867,1.16438,1.5947,0.0095875,0.0095875,0.0095875
7,996.81,1.32356,1.63737,1.46523,0.82763,0.80894,0.90329,0.58632,1.24384,1.21985,1.59301,0.009505,0.009505,0.009505
8,1133.41,1.27388,1.47549,1.41458,0.88615,0.87162,0.9377,0.64784,1.15644,0.95949,1.48564,0.0094225,0.0094225,0.0094225
9,1269.7,1.24503,1.38618,1.39553,0.88112,0.89728,0.9536,0.65279,1.13575,0.96086,1.48262,0.00934,0.00934,0.00934
10,1414.36,1.22677,1.30599,1.38068,0.86411,0.92932,0.95674,0.66716,1.11226,0.85501,1.45693,0.0092575,0.0092575,0.0092575
11,1562.21,1.20202,1.25177,1.36671,0.90882,0.89015,0.95614,0.6617,1.10061,0.85842,1.43505,0.009175,0.009175,0.009175
12,1712.34,1.19079,1.19779,1.35378,0.93456,0.90107,0.9653,0.68595,1.07829,0.78659,1.41146,0.0090925,0.0090925,0.0090925
